Time,Temperature(C),Deviation(mK),Current(mA)
0.00:55:40.988,24,998,-2,82
0.00:55:42.141,25,0,85
0.00:55:43.294,24,998,-2,84
0.00:55:44.431,25,0,85
0.00:55:45.584,24,996,-4,82
0.00:55:46.736,24,993,-7,84
0.00:55:47.873,24,999,-1,83
0.00:55:49.026,24,997,-3,80
0.00:55:50.163,25,0,80
0.00:55:51.316,25,001,1,86
0.00:55:52.469,25,0,85
0.00:55:53.606,24,999,-1,81
0.00:55:54.758,25,001,1,81
0.00:55:55.895,25,004,4,87
0.00:55:57.048,25,0,85
0.00:55:58.201,25,004,4,88
0.00:55:59.338,25,001,1,87
0.00:56:00.491,24,997,-3,86
0.00:56:01.644,25,0,86
0.00:56:02.780,25,0,87
0.00:56:03.933,24,999,-1,85
0.00:56:05.070,25,001,1,89
0.00:56:06.223,25,001,1,87
0.00:56:07.376,24,999,-1,86
0.00:56:08.513,24,999,-1,90
0.00:56:09.665,25,002,2,86
0.00:56:10.818,25,002,2,89
0.00:56:11.955,25,004,4,88
0.00:56:13.108,25,002,2,87
0.00:56:14.245,25,004,4,92
0.00:56:15.398,25,004,4,93
0.00:56:16.551,25,002,2,94
0.00:56:17.687,25,001,1,90
0.00:56:18.840,24,993,-7,81
0.00:56:19.993,24,997,-3,91
0.00:56:21.130,24,997,-3,88
0.00:56:22.283,24,994,-6,86
0.00:56:23.420,24,998,-2,86
0.00:56:24.573,24,998,-2,81
0.00:56:25.726,24,998,-2,83
0.00:56:26.862,25,002,2,86
0.00:56:28.015,25,0,86
0.00:56:29.168,25,001,1,85
0.00:56:30.305,25,0,85
0.00:56:31.458,25,001,1,87
0.00:56:32.611,25,001,1,88
0.00:56:33.747,25,001,1,88
0.00:56:34.900,25,001,1,86
0.00:56:36.037,25,002,2,89
0.00:56:37.190,25,002,2,86
0.00:56:38.343,25,001,1,86
0.00:56:39.480,24,999,-1,89
0.00:56:40.633,25,002,2,91
0.00:56:41.785,25,0,88
0.00:56:42.922,24,998,-2,83
0.00:56:44.075,24,999,-1,84
0.00:56:45.228,25,0,80
0.00:56:46.365,24,999,-1,88
0.00:56:47.518,25,0,87
0.00:56:48.671,25,0,86
0.00:56:49.807,24,993,-7,76
0.00:56:50.960,24,999,-1,81
0.00:56:52.097,24,997,-3,78
0.00:56:53.250,25,001,1,84
0.00:56:54.403,25,002,2,82
0.00:56:55.540,25,004,4,87
0.00:56:56.692,25,005,5,88
0.00:56:57.829,25,005,5,90
0.00:56:58.982,25,001,1,82
0.00:57:00.135,24,998,-2,85
0.00:57:01.272,25,002,2,84
0.00:57:02.425,24,997,-3,80
0.00:57:03.578,25,001,1,83
0.00:57:04.714,25,001,1,84
0.00:57:05.867,25,004,4,91
0.00:57:07.019,24,998,-2,85
0.00:57:08.157,24,999,-1,82
0.00:57:09.309,24,998,-2,85
0.00:57:10.446,25,002,2,87
0.00:57:11.599,25,004,4,86
0.00:57:12.751,25,0,85
0.00:57:13.889,25,001,1,90
0.00:57:15.041,24,997,-3,86
0.00:57:16.194,25,001,1,82
0.00:57:17.331,25,003,3,88
0.00:57:18.484,25,004,4,89
0.00:57:19.621,24,998,-2,87
0.00:57:20.774,25,0,86
0.00:57:21.926,25,002,2,84
0.00:57:23.063,25,001,1,87
0.00:57:24.216,24,998,-2,85
0.00:57:25.369,25,0,87
0.00:57:26.506,25,002,2,87
0.00:57:27.659,25,001,1,88
0.00:57:28.796,25,001,1,88
0.00:57:29.948,25,002,2,88
0.00:57:31.101,24,997,-3,87
0.00:57:32.238,25,004,4,91
0.00:57:33.391,25,0,84
0.00:57:34.544,25,001,1,82
0.00:57:35.681,24,999,-1,87
0.00:57:36.834,24,998,-2,85
0.00:57:37.986,24,999,-1,87
0.00:57:39.123,24,998,-2,87
0.00:57:40.276,24,999,-1,85
0.00:57:41.413,24,999,-1,84
0.00:57:42.566,24,997,-3,85
0.00:57:43.719,24,995,-5,79
0.00:57:44.856,25,0,84
0.00:57:46.008,25,002,2,88
0.00:57:47.161,24,998,-2,85
0.00:57:48.298,25,001,1,85
0.00:57:49.451,24,998,-2,82
0.00:57:50.588,24,997,-3,87
0.00:57:51.741,24,999,-1,81
0.00:57:52.894,24,998,-2,81
0.00:57:54.030,24,998,-2,77
0.00:57:55.183,24,999,-1,83
0.00:57:56.336,25,002,2,86
0.00:57:57.473,25,004,4,88
0.00:57:58.626,25,0,86
0.00:57:59.779,24,999,-1,83
0.00:58:00.916,25,002,2,87
0.00:58:02.068,24,999,-1,84
0.00:58:03.205,24,997,-3,85
0.00:58:04.358,25,002,2,87
0.00:58:05.511,25,0,87
0.00:58:06.648,25,0,85
0.00:58:07.801,24,999,-1,81
0.00:58:08.954,25,002,2,83
0.00:58:10.090,25,002,2,88
0.00:58:11.243,25,002,2,87
0.00:58:12.396,25,0,85
0.00:58:13.533,25,0,87
0.00:58:14.686,25,001,1,86
0.00:58:15.823,25,001,1,84
0.00:58:16.976,25,001,1,86
0.00:58:18.128,25,002,2,88
0.00:58:19.265,24,998,-2,84
0.00:58:20.418,25,002,2,88
0.00:58:21.571,24,997,-3,81
0.00:58:22.708,24,992,-8,84
0.00:58:23.861,24,996,-4,79
0.00:58:25.014,24,999,-1,81
0.00:58:26.150,25,0,83
0.00:58:27.303,24,998,-2,84
0.00:58:28.440,25,003,3,82
0.00:58:29.593,25,003,3,87
0.00:58:30.746,25,001,1,86
0.00:58:31.883,24,999,-1,80
0.00:58:33.036,24,994,-6,80
0.00:58:34.187,24,999,-1,80
0.00:58:35.325,25,002,2,87
0.00:58:36.478,25,003,3,87
0.00:58:37.631,24,998,-2,90
0.00:58:38.768,24,998,-2,83
0.00:58:39.920,25,002,2,84
0.00:58:41.073,24,999,-1,82
0.00:58:42.210,24,995,-5,79
0.00:58:43.363,24,999,-1,82
0.00:58:44.499,25,004,4,88
0.00:58:45.652,25,004,4,87
0.00:58:46.806,25,003,3,87
0.00:58:47.943,25,003,3,86
0.00:58:49.095,24,998,-2,84
0.00:58:50.248,25,001,1,87
0.00:58:51.385,25,003,3,84
0.00:58:52.537,25,004,4,90
0.00:58:53.690,25,003,3,87
0.00:58:54.827,25,004,4,88
0.00:58:55.980,25,002,2,87
0.00:58:57.133,25,0,88
0.00:58:58.270,24,998,-2,84
0.00:58:59.422,25,001,1,88
0.00:59:00.575,24,998,-2,84
0.00:59:01.712,25,002,2,86
0.00:59:02.865,25,0,79
0.00:59:04.018,24,998,-2,86
0.00:59:05.155,25,001,1,80
0.00:59:06.308,25,001,1,86
0.00:59:07.460,25,0,85
0.00:59:08.597,25,002,2,87
0.00:59:09.750,24,999,-1,87
0.00:59:10.887,25,001,1,86
0.00:59:12.040,24,999,-1,85
0.00:59:13.193,24,998,-2,82
0.00:59:14.329,25,001,1,87
0.00:59:15.482,24,998,-2,82
0.00:59:16.635,25,003,3,87
0.00:59:17.772,24,997,-3,86
0.00:59:18.925,24,998,-2,86
0.00:59:20.078,24,998,-2,82
0.00:59:21.215,25,0,84
0.00:59:22.367,25,0,86
0.00:59:23.520,25,001,1,86
0.00:59:24.657,25,001,1,85
0.00:59:25.810,24,999,-1,83
0.00:59:26.963,24,997,-3,84
0.00:59:28.100,24,999,-1,86
0.00:59:29.252,25,0,86
0.00:59:30.389,25,001,1,87
0.00:59:31.542,24,999,-1,88
0.00:59:32.695,25,003,3,89
0.00:59:33.832,25,001,1,83
0.00:59:34.985,25,002,2,88
0.00:59:36.138,25,0,86
0.00:59:37.274,24,997,-3,81
0.00:59:38.427,25,002,2,86
0.00:59:39.580,24,998,-2,83
0.00:59:40.717,24,996,-4,82
0.00:59:41.870,24,997,-3,80
0.00:59:43.023,24,998,-2,81
0.00:59:44.160,25,0,81
0.00:59:45.312,24,999,-1,83
0.00:59:46.465,25,002,2,86
0.00:59:47.602,25,0,82
0.00:59:48.755,25,001,1,84
0.00:59:49.908,24,999,-1,80
0.00:59:51.045,25,0,79
0.00:59:52.198,24,999,-1,82
0.00:59:53.350,24,998,-2,86
0.00:59:54.487,24,999,-1,82
0.00:59:55.640,25,003,3,83
0.00:59:56.777,25,001,1,85
0.00:59:57.930,24,997,-3,85
0.00:59:59.083,25,0,83
0.01:00:00.220,25,004,4,89
0.01:00:01.372,25,003,3,85
0.01:00:02.525,25,003,3,85
0.01:00:03.662,25,0,85
0.01:00:04.814,24,999,-1,78
0.01:00:05.968,25,002,2,84
0.01:00:07.105,25,005,5,86
0.01:00:08.257,25,001,1,88
0.01:00:09.410,24,999,-1,87
0.01:00:10.547,25,0,87
0.01:00:11.700,25,005,5,91
0.01:00:12.853,25,002,2,89
0.01:00:13.990,25,001,1,88
0.01:00:15.143,25,004,4,95
0.01:00:16.295,25,001,1,89
0.01:00:17.432,25,0,88
0.01:00:18.585,25,001,1,88
0.01:00:19.737,25,001,1,87
0.01:00:20.875,24,998,-2,85
0.01:00:22.027,25,0,87
0.01:00:23.180,24,998,-2,78
0.01:00:24.317,24,994,-6,86
0.01:00:25.469,24,999,-1,83
0.01:00:26.606,24,998,-2,86
0.01:00:27.759,24,998,-2,81
0.01:00:28.912,25,0,86
0.01:00:30.049,25,0,83
0.01:00:31.202,25,001,1,85
0.01:00:32.355,24,999,-1,86
0.01:00:33.491,24,998,-2,84
0.01:00:34.644,25,001,1,85
0.01:00:35.797,25,001,1,86
0.01:00:36.934,25,0,85
0.01:00:38.087,25,001,1,87
0.01:00:39.240,25,0,85
0.01:00:40.376,24,999,-1,83
0.01:00:41.529,24,998,-2,84
0.01:00:42.682,25,0,85
0.01:00:43.819,24,998,-2,84
0.01:00:44.972,25,002,2,87
0.01:00:46.125,25,001,1,87
0.01:00:47.262,25,002,2,84
0.01:00:48.414,25,004,4,88
0.01:00:49.567,24,999,-1,85
0.01:00:50.704,24,996,-4,81
0.01:00:51.857,24,999,-1,85
0.01:00:53.010,24,999,-1,83
0.01:00:54.147,24,998,-2,83
0.01:00:55.300,25,002,2,83
0.01:00:56.436,24,999,-1,85
0.01:00:57.589,25,003,3,85
0.01:00:58.742,25,003,3,86
0.01:00:59.879,25,002,2,88
0.01:01:01.032,25,001,1,87
0.01:01:02.185,25,0,85
0.01:01:03.321,25,0,87
0.01:01:04.474,24,998,-2,85
0.01:01:05.627,25,003,3,83
0.01:01:06.764,25,001,1,87
0.01:01:07.917,25,003,3,88
0.01:01:09.070,25,003,3,87
0.01:01:10.207,25,003,3,87
0.01:01:11.359,25,001,1,93
0.01:01:12.512,25,0,87
0.01:01:13.649,24,999,-1,86
0.01:01:14.802,24,997,-3,87
0.01:01:15.939,25,0,82
0.01:01:17.092,24,999,-1,87
0.01:01:18.244,24,999,-1,80
0.01:01:19.381,25,0,83
0.01:01:20.534,24,998,-2,82
0.01:01:21.687,24,999,-1,79
0.01:01:22.824,24,997,-3,84
0.01:01:23.977,25,0,77
0.01:01:25.130,25,001,1,86
0.01:01:26.266,24,997,-3,80
0.01:01:27.419,25,0,86
0.01:01:28.572,25,002,2,84
0.01:01:29.709,25,002,2,87
0.01:01:30.862,24,997,-3,84
0.01:01:32.015,25,005,5,86
0.01:01:33.152,25,001,1,88
0.01:01:34.304,24,998,-2,83
0.01:01:35.457,25,0,84
0.01:01:36.594,25,0,87
0.01:01:37.747,25,001,1,87
0.01:01:38.899,25,0,85
0.01:01:40.037,24,999,-1,85
0.01:01:41.190,24,997,-3,79
0.01:01:42.341,24,998,-2,85
0.01:01:43.479,25,0,83
0.01:01:44.632,24,999,-1,84
0.01:01:45.768,24,998,-2,87
0.01:01:46.921,24,998,-2,82
0.01:01:48.075,24,996,-4,83
0.01:01:49.212,24,999,-1,83
0.01:01:50.363,25,0,83
0.01:01:51.516,25,0,84
0.01:01:52.653,25,0,86
0.01:01:53.807,25,001,1,85
0.01:01:54.959,25,001,1,85
0.01:01:56.096,25,002,2,87
0.01:01:57.249,25,0,84
0.01:01:58.401,25,002,2,86
0.01:01:59.538,24,996,-4,84
0.01:02:00.691,25,003,3,86
0.01:02:01.844,24,999,-1,85
0.01:02:02.981,25,001,1,86
0.01:02:04.134,25,0,85
0.01:02:05.287,25,0,81
0.01:02:06.423,24,998,-2,76
0.01:02:07.576,25,0,84
0.01:02:08.729,25,003,3,88
0.01:02:09.866,24,999,-1,81
0.01:02:11.019,24,999,-1,84
0.01:02:12.172,24,999,-1,78
0.01:02:13.309,25,0,83
0.01:02:14.461,24,999,-1,83
0.01:02:15.598,25,001,1,83
0.01:02:16.751,25,001,1,82
0.01:02:17.904,25,0,86
0.01:02:19.041,24,999,-1,85
0.01:02:20.194,25,003,3,85
0.01:02:21.347,25,0,83
0.01:02:22.483,25,001,1,86
0.01:02:23.636,24,999,-1,87
0.01:02:24.790,25,002,2,83
0.01:02:25.926,25,0,87
0.01:02:27.079,25,005,5,89
0.01:02:28.232,25,002,2,87
0.01:02:29.369,25,004,4,90
0.01:02:30.521,25,002,2,88
0.01:02:31.674,25,003,3,91
0.01:02:32.811,24,998,-2,85
0.01:02:33.964,24,999,-1,84
0.01:02:35.117,24,997,-3,81
0.01:02:36.254,24,999,-1,83
0.01:02:37.407,25,0,83
0.01:02:38.559,24,997,-3,84
0.01:02:39.696,24,996,-4,78
0.01:02:40.849,24,995,-5,83
0.01:02:41.986,25,001,1,84
0.01:02:43.139,25,003,3,87
0.01:02:44.292,25,005,5,87
0.01:02:45.429,25,002,2,88
0.01:02:46.581,25,001,1,83
0.01:02:47.734,25,001,1,86
0.01:02:48.871,24,997,-3,84
0.01:02:50.024,25,001,1,86
0.01:02:51.177,24,998,-2,88
0.01:02:52.314,25,003,3,89
0.01:02:53.467,24,999,-1,82
0.01:02:54.619,24,999,-1,83
0.01:02:55.756,25,001,1,80
0.01:02:56.909,24,999,-1,83
0.01:02:58.062,25,0,85
0.01:02:59.199,24,995,-5,83
0.01:03:00.352,24,998,-2,83
0.01:03:01.505,24,999,-1,82
0.01:03:02.641,25,0,85
0.01:03:03.794,25,0,84
0.01:03:04.947,25,002,2,86
0.01:03:06.084,25,002,2,86
0.01:03:07.237,25,003,3,87
0.01:03:08.374,25,0,86
0.01:03:09.527,25,002,2,87
0.01:03:10.679,25,0,91
0.01:03:11.816,25,0,85
0.01:03:12.969,24,999,-1,82
0.01:03:14.122,24,997,-3,80
0.01:03:15.259,24,999,-1,83
0.01:03:16.412,24,999,-1,82
0.01:03:17.565,25,003,3,85
0.01:03:18.700,25,002,2,85
0.01:03:19.854,25,003,3,85
0.01:03:21.006,25,002,2,83
0.01:03:22.143,25,0,86
0.01:03:23.296,25,001,1,86
0.01:03:24.450,25,001,1,88
0.01:03:25.586,25,0,82
0.01:03:26.738,24,999,-1,85
0.01:03:27.891,25,002,2,87
0.01:03:29.028,25,001,1,86
0.01:03:30.182,25,0,86
0.01:03:31.334,24,995,-5,78
0.01:03:32.471,24,998,-2,78
0.01:03:33.624,24,999,-1,87
0.01:03:34.776,25,001,1,84
0.01:03:35.913,25,003,3,85
0.01:03:37.066,25,002,2,87
0.01:03:38.203,24,998,-2,86
0.01:03:39.356,24,999,-1,84
0.01:03:40.509,24,997,-3,81
0.01:03:41.646,24,998,-2,80
0.01:03:42.798,25,002,2,83
0.01:03:43.951,24,999,-1,83
0.01:03:45.088,24,999,-1,83
0.01:03:46.241,25,002,2,87
0.01:03:47.394,24,999,-1,80
0.01:03:48.531,25,002,2,87
0.01:03:49.684,24,999,-1,86
0.01:03:50.836,25,001,1,85
0.01:03:51.973,25,001,1,85
0.01:03:53.126,24,999,-1,84
0.01:03:54.279,24,999,-1,84
0.01:03:55.416,24,995,-5,78
0.01:03:56.569,25,0,86
0.01:03:57.722,24,999,-1,85
0.01:03:58.858,24,998,-2,82
0.01:04:00.011,25,001,1,81
0.01:04:01.148,25,001,1,83
0.01:04:02.301,24,999,-1,82
0.01:04:03.454,24,997,-3,79
0.01:04:04.591,24,997,-3,79
0.01:04:05.744,24,998,-2,79
0.01:04:06.896,24,998,-2,76
0.01:04:08.033,24,998,-2,71
0.01:04:09.186,25,001,1,82
0.01:04:10.339,25,001,1,82
0.01:04:11.476,25,002,2,76
0.01:04:12.629,25,0,85
0.01:04:13.782,25,0,82
0.01:04:14.919,25,0,80
0.01:04:16.071,24,999,-1,79
0.01:04:17.224,25,003,3,79
0.01:04:18.361,25,001,1,81
0.01:04:19.514,25,003,3,82
0.01:04:20.667,24,999,-1,83
0.01:04:21.804,25,002,2,82
0.01:04:22.957,24,998,-2,83
0.01:04:24.109,25,001,1,83
0.01:04:25.246,25,0,82
0.01:04:26.399,25,001,1,82
0.01:04:27.552,25,001,1,83
0.01:04:28.689,25,001,1,85
0.01:04:29.842,25,003,3,87
0.01:04:30.995,24,999,-1,85
0.01:04:32.131,25,001,1,84
0.01:04:33.284,25,001,1,83
0.01:04:34.437,25,001,1,85
0.01:04:35.574,25,0,77
0.01:04:36.727,25,002,2,86
0.01:04:37.880,24,997,-3,82
0.01:04:39.017,25,001,1,84
0.01:04:40.169,25,003,3,86
0.01:04:41.322,25,0,87
0.01:04:42.459,25,003,3,84
0.01:04:43.612,25,0,86
0.01:04:44.765,25,002,2,85
0.01:04:45.902,24,999,-1,83
0.01:04:47.055,24,999,-1,87
0.01:04:48.207,24,999,-1,85
0.01:04:49.343,24,998,-2,82
0.01:04:50.497,24,997,-3,83
0.01:04:51.649,24,998,-2,82
0.01:04:52.787,24,998,-2,81
0.01:04:53.940,25,002,2,85
0.01:04:55.077,24,998,-2,82
0.01:04:56.229,25,0,83
0.01:04:57.381,25,001,1,82
0.01:04:58.518,24,998,-2,87
0.01:04:59.671,25,001,1,83
0.01:05:00.824,25,0,87
0.01:05:01.961,25,0,84
0.01:05:03.115,25,0,83
0.01:05:04.267,25,003,3,85
0.01:05:05.403,25,0,85
0.01:05:06.556,24,999,-1,82
0.01:05:07.709,25,001,1,85
0.01:05:08.846,25,0,82
0.01:05:09.999,24,999,-1,83
0.01:05:11.152,24,996,-4,78
0.01:05:12.288,24,997,-3,79
0.01:05:13.441,24,998,-2,81
0.01:05:14.594,24,999,-1,81
0.01:05:15.731,24,996,-4,75
0.01:05:16.884,24,995,-5,79
0.01:05:18.037,25,001,1,81
0.01:05:19.174,24,996,-4,79
0.01:05:20.327,25,0,79
0.01:05:21.479,25,002,2,82
0.01:05:22.616,25,004,4,81
0.01:05:23.769,25,002,2,83
0.01:05:24.922,25,002,2,85
0.01:05:26.059,25,004,4,85
0.01:05:27.212,25,003,3,87
0.01:05:28.365,25,003,3,87
0.01:05:29.501,25,0,90
0.01:05:30.654,25,002,2,86
0.01:05:31.807,25,002,2,86
0.01:05:32.944,25,003,3,88
0.01:05:34.097,24,999,-1,85
0.01:05:35.250,25,001,1,87
0.01:05:36.387,24,998,-2,82
0.01:05:37.539,24,999,-1,83
0.01:05:38.692,24,999,-1,82
0.01:05:39.829,25,001,1,81
0.01:05:40.982,24,999,-1,85
0.01:05:42.135,25,002,2,84
0.01:05:43.272,25,003,3,85
0.01:05:44.425,25,0,87
0.01:05:45.578,25,001,1,88
0.01:05:46.714,25,001,1,86
0.01:05:47.867,25,001,1,84
0.01:05:49.020,25,001,1,85
0.01:05:50.157,24,999,-1,83
0.01:05:51.310,25,0,85
0.01:05:52.463,25,0,82
0.01:05:53.600,25,001,1,86
0.01:05:54.752,25,002,2,87
0.01:05:55.905,24,999,-1,85
0.01:05:57.042,25,003,3,88
0.01:05:58.195,25,003,3,85
0.01:05:59.348,25,001,1,87
0.01:06:00.485,25,002,2,88
0.01:06:01.637,24,998,-2,86
0.01:06:02.790,24,997,-3,86
0.01:06:03.927,25,0,84
0.01:06:05.080,25,001,1,86
0.01:06:06.233,25,0,83
0.01:06:07.370,25,001,1,87
0.01:06:08.523,24,999,-1,78
0.01:06:09.675,25,0,79
0.01:06:10.812,24,996,-4,83
0.01:06:11.965,25,0,83
0.01:06:13.102,24,999,-1,84
0.01:06:14.255,25,0,83
0.01:06:15.408,25,002,2,85
0.01:06:16.545,25,002,2,86
0.01:06:17.697,25,0,84
0.01:06:18.850,24,998,-2,88
0.01:06:19.987,25,0,84
0.01:06:21.140,24,998,-2,82
0.01:06:22.292,25,002,2,81
0.01:06:23.430,25,001,1,87
0.01:06:24.583,25,0,85
0.01:06:25.735,25,001,1,85
0.01:06:26.871,24,997,-3,79
0.01:06:28.025,25,001,1,82
0.01:06:29.178,25,0,84
0.01:06:30.315,24,999,-1,81
0.01:06:31.468,25,002,2,86
0.01:06:32.620,25,001,1,84
0.01:06:33.757,25,001,1,84
0.01:06:34.910,25,0,84
0.01:06:36.063,25,0,88
0.01:06:37.199,25,0,88
0.01:06:38.352,24,999,-1,83
0.01:06:39.505,25,001,1,89
0.01:06:40.642,25,001,1,87
0.01:06:41.795,25,002,2,85
0.01:06:42.947,25,001,1,84
0.01:06:44.084,24,997,-3,85
0.01:06:45.237,24,996,-4,83
0.01:06:46.390,24,998,-2,79
0.01:06:47.527,24,997,-3,83
0.01:06:48.680,24,998,-2,79
0.01:06:49.832,24,999,-1,81
0.01:06:50.969,24,999,-1,82
0.01:06:52.122,25,0,85
0.01:06:53.275,25,0,83
0.01:06:54.412,25,003,3,83
0.01:06:55.565,25,002,2,86
0.01:06:56.718,24,997,-3,88
0.01:06:57.854,24,999,-1,78
0.01:06:59.007,24,999,-1,82
0.01:07:00.160,24,997,-3,79
0.01:07:01.297,25,0,79
0.01:07:02.450,25,0,85
0.01:07:03.603,25,001,1,82
0.01:07:04.740,25,002,2,82
0.01:07:05.892,25,002,2,83
0.01:07:07.045,25,004,4,80
0.01:07:08.182,25,002,2,86
0.01:07:09.335,25,0,83
0.01:07:10.488,25,001,1,82
0.01:07:11.625,25,0,85
0.01:07:12.778,25,001,1,85
0.01:07:13.930,25,0,83
0.01:07:15.067,24,997,-3,86
0.01:07:16.220,25,005,5,87
0.01:07:17.373,25,001,1,86
0.01:07:18.510,25,001,1,87
0.01:07:19.663,24,998,-2,82
0.01:07:20.800,25,0,85
0.01:07:21.952,24,998,-2,82
0.01:07:23.105,25,001,1,88
0.01:07:24.242,25,0,83
0.01:07:25.395,24,998,-2,82
0.01:07:26.548,24,998,-2,81
0.01:07:27.685,24,997,-3,78
0.01:07:28.838,24,999,-1,83
0.01:07:29.990,24,998,-2,79
0.01:07:31.127,24,999,-1,81
0.01:07:32.280,25,001,1,85
0.01:07:33.433,25,001,1,82
0.01:07:34.570,25,001,1,84
0.01:07:35.723,25,001,1,82
0.01:07:36.876,25,001,1,82
0.01:07:38.012,24,999,-1,78
0.01:07:39.165,24,999,-1,81
0.01:07:40.318,24,998,-2,82
0.01:07:41.455,24,999,-1,82
0.01:07:42.608,24,996,-4,74
0.01:07:43.761,25,001,1,82
0.01:07:44.898,25,003,3,79
0.01:07:46.051,25,001,1,81
0.01:07:47.203,25,002,2,85
0.01:07:48.340,25,004,4,84
0.01:07:49.493,25,001,1,84
0.01:07:50.646,25,002,2,82
0.01:07:51.783,24,997,-3,79
0.01:07:52.935,25,004,4,83
0.01:07:54.088,25,002,2,82
0.01:07:55.224,25,0,79
0.01:07:56.378,25,002,2,85
0.01:07:57.530,25,0,87
0.01:07:58.668,25,002,2,86
0.01:07:59.821,25,002,2,84
0.01:08:00.973,25,002,2,86
0.01:08:02.110,25,001,1,85
0.01:08:03.263,25,001,1,87
0.01:08:04.415,24,999,-1,83
0.01:08:05.552,24,999,-1,79
0.01:08:06.705,24,997,-3,81
0.01:08:07.859,24,997,-3,76
0.01:08:08.995,24,998,-2,81
0.01:08:10.148,25,002,2,83
0.01:08:11.300,24,997,-3,83
0.01:08:12.437,25,001,1,81
0.01:08:13.591,24,999,-1,82
0.01:08:14.743,24,999,-1,87
0.01:08:15.881,25,002,2,85
0.01:08:17.033,25,003,3,87
0.01:08:18.186,25,002,2,87
0.01:08:19.322,24,998,-2,87
0.01:08:20.475,24,999,-1,88
0.01:08:21.628,25,004,4,92
0.01:08:22.765,25,003,3,90
0.01:08:23.918,25,001,1,89
0.01:08:25.071,24,998,-2,88
0.01:08:26.207,24,998,-2,91
0.01:08:27.360,25,001,1,87
0.01:08:28.513,24,998,-2,87
0.01:08:29.650,24,997,-3,84
0.01:08:30.803,25,0,87
0.01:08:31.940,24,998,-2,84
0.01:08:33.093,24,999,-1,83
0.01:08:34.245,24,998,-2,79
0.01:08:35.382,25,001,1,81
0.01:08:36.535,24,999,-1,84
0.01:08:37.688,24,996,-4,76
0.01:08:38.825,24,999,-1,81
0.01:08:39.978,24,998,-2,80
0.01:08:41.131,24,998,-2,78
0.01:08:42.283,25,001,1,81
0.01:08:43.420,25,003,3,81
0.01:08:44.573,24,999,-1,79
0.01:08:45.710,25,002,2,80
0.01:08:46.863,25,001,1,76
0.01:08:48.016,25,004,4,85
0.01:08:49.153,25,002,2,79
0.01:08:50.305,25,003,3,86
0.01:08:51.458,25,001,1,86
0.01:08:52.595,24,995,-5,81
0.01:08:53.748,25,003,3,82
0.01:08:54.901,25,004,4,84
0.01:08:56.038,25,003,3,85
0.01:08:57.191,25,001,1,86
0.01:08:58.343,25,002,2,88
0.01:08:59.480,24,998,-2,85
0.01:09:00.633,24,998,-2,85
0.01:09:01.786,24,995,-5,76
0.01:09:02.923,24,997,-3,75
0.01:09:04.076,24,999,-1,78
0.01:09:05.229,25,001,1,81
0.01:09:06.365,24,999,-1,81
0.01:09:07.518,25,001,1,85
0.01:09:08.671,24,999,-1,88
0.01:09:09.808,25,002,2,85
0.01:09:10.961,24,998,-2,79
0.01:09:12.098,24,999,-1,79
0.01:09:13.251,24,999,-1,83
0.01:09:14.403,25,003,3,83
0.01:09:15.540,24,996,-4,76
0.01:09:16.693,24,999,-1,82
0.01:09:17.846,24,996,-4,80
0.01:09:18.983,24,999,-1,81
0.01:09:20.136,25,0,81
0.01:09:21.289,25,0,82
0.01:09:22.424,24,998,-2,85
0.01:09:23.578,25,001,1,83
0.01:09:24.731,25,001,1,79
0.01:09:25.868,25,0,81
0.01:09:27.021,25,001,1,82
0.01:09:28.174,24,999,-1,81
0.01:09:29.310,24,999,-1,76
0.01:09:30.463,25,003,3,81
0.01:09:31.616,25,002,2,85
0.01:09:32.752,24,999,-1,88
0.01:09:33.906,25,003,3,84
0.01:09:35.042,25,001,1,82
0.01:09:36.196,25,0,83
0.01:09:37.347,25,003,3,86
0.01:09:38.485,25,0,82
0.01:09:39.638,24,998,-2,81
0.01:09:40.791,24,998,-2,78
0.01:09:41.928,24,996,-4,81
0.01:09:43.080,25,001,1,84
0.01:09:44.233,25,0,84
0.01:09:45.369,24,998,-2,79
0.01:09:46.522,25,0,84
0.01:09:47.675,25,002,2,82
0.01:09:48.812,25,002,2,86
0.01:09:49.965,25,002,2,88
0.01:09:51.118,24,999,-1,83
0.01:09:52.255,25,0,79
0.01:09:53.407,25,001,1,87
0.01:09:54.544,25,001,1,85
0.01:09:55.697,24,998,-2,83
0.01:09:56.850,25,002,2,82
0.01:09:57.987,25,0,85
0.01:09:59.140,25,0,85
0.01:10:00.293,25,0,84
0.01:10:01.429,24,996,-4,85
0.01:10:02.582,24,997,-3,81
0.01:10:03.735,25,001,1,82
0.01:10:04.872,25,001,1,86
0.01:10:06.025,24,999,-1,85
0.01:10:07.178,25,001,1,83
0.01:10:08.314,25,0,85
0.01:10:09.467,24,998,-2,84
0.01:10:10.620,25,002,2,87
0.01:10:11.757,24,996,-4,79
0.01:10:12.910,25,001,1,83
0.01:10:14.063,25,0,83
0.01:10:15.200,25,0,85
0.01:10:16.353,25,001,1,83
0.01:10:17.489,25,0,85
0.01:10:18.642,25,001,1,83
0.01:10:19.795,25,0,84
0.01:10:20.932,25,0,82
0.01:10:22.085,25,0,81
0.01:10:23.238,25,001,1,78
0.01:10:24.375,24,998,-2,79
0.01:10:25.527,24,999,-1,83
0.01:10:26.680,24,997,-3,74
0.01:10:27.817,24,998,-2,76
